onset	duration	nwb_table	ses_ID	ses_Name	cond_Name	cond_ID	target_rot	rep_num	pdOn	pdOff
27.99	0.9000000000000021	trials	116	s116_J210623	grCe_grSu6Ne	7	270.0	8	28.29	28.59
28.607	0.9000000000000021	trials	116	s116_J210623	grSu18Fa	10		8	28.907	29.206
29.207	0.9000000000000021	trials	116	s116_J210623	coCe	16	225.0	8	29.507	29.807
34.083000000000006	0.8999999999999986	trials	116	s116_J210623	coCe	16	315.0	8	34.383	34.682
34.699000000000005	0.8999999999999986	trials	116	s116_J210623	grCe_grSu12Mi	9	90.0	8	34.999	35.299
35.308	0.8999999999999986	trials	116	s116_J210623	grCe_grSu6Ne	7	0.0	8	35.608	35.907
40.183	0.8999999999999986	trials	116	s116_J210623	grCe_grSu12SmCiNe	13	270.0	8	40.483	40.783
40.792	0.8999999999999986	trials	116	s116_J210623	grCe_grSu6CiNe	15	315.0	8	41.092	41.391
41.392	0.8999999999999986	trials	116	s116_J210623	coCe	16	180.0	8	41.692	41.991
46.476000000000006	0.8999999999999986	trials	116	s116_J210623	grCe_grSu1Ne	3	315.0	8	46.776	47.075
50.518	0.8999999999999986	trials	116	s116_J210623	grSu1Ne	2		8	50.818	51.118
54.952000000000005	0.8999999999999986	trials	116	s116_J210623	coSu6Ne	20		8	55.252	55.552
55.56	0.8999999999999986	trials	116	s116_J210623	grCe_grSu6Ne	7	180.0	8	55.86	56.16
64.337	0.8999999999999915	trials	116	s116_J210623	grCe_grSu6Ne_PS	18	315.0	8	64.637	64.936
64.962	0.8999999999999915	trials	116	s116_J210623	grCe_grSu12Mi	9	315.0	8	65.262	65.561
71.596	0.8999999999999915	trials	116	s116_J210623	grCe_grSu12SmCiNe	13	135.0	8	71.896	72.195
72.196	0.8999999999999915	trials	116	s116_J210623	grCe_grSu12SmCiNe_PS	21	270.0	8	72.496	72.795
77.25500000000001	0.8999999999999915	trials	116	s116_J210623	grCe_grSu1Ne	3	0.0	8	77.555	77.854
82.397	0.8999999999999915	trials	116	s116_J210623	grSu3Ne	4		8	82.697	82.997
82.997	0.8999999999999915	trials	116	s116_J210623	NoStim	0		8	83.297	83.597
83.639	0.8999999999999915	trials	116	s116_J210623	grCe_grSu12SmCiNe_PS	21	90.0	8	83.939	84.239
88.86500000000001	0.8999999999999915	trials	116	s116_J210623	coCe_grSu6Ne	17	225.0	8	89.165	89.464
92.324	0.8999999999999915	trials	116	s116_J210623	grCe_grSu1Ne	3	45.0	8	92.624	92.923
106.534	0.8999999999999915	trials	116	s116_J210623	grCe	1	225.0	8	106.834	107.133
107.31700000000001	0.8999999999999915	trials	116	s116_J210623	grCe_grSu3Ne	5	270.0	8	107.617	107.917
107.926	0.8999999999999915	trials	116	s116_J210623	grCe_grSu6CiNe_PS	19	225.0	8	108.226	108.525
112.843	0.8999999999999915	trials	116	s116_J210623	grCe_grSu18Fa	11	45.0	8	113.143	113.442
114.06	0.8999999999999915	trials	116	s116_J210623	grSu12SmCiNe	12		8	114.36	114.659
122.069	0.8999999999999915	trials	116	s116_J210623	grCe_grSu6CiNe_PS	19	315.0	8	122.369	122.669
123.286	0.8999999999999915	trials	116	s116_J210623	grCe_grSu6CiNe_PS	19	45.0	8	123.586	123.885
128.28699999999998	0.9000000000000057	trials	116	s116_J210623	coCe	16	270.0	8	128.587	128.886
128.89499999999998	0.9000000000000057	trials	116	s116_J210623	grCe_grSu12SmCiNe_PS	21	45.0	8	129.195	129.494
145.78	0.9000000000000057	trials	116	s116_J210623	grCe_grSu18Fa	11	270.0	8	146.08	146.38
150.55599999999998	0.9000000000000057	trials	116	s116_J210623	grCe_grSu1Ne	3	180.0	8	150.856	151.156
151.173	0.9000000000000057	trials	116	s116_J210623	grCe_grSu12Mi	9	45.0	8	151.473	151.772
151.78099999999998	0.9000000000000057	trials	116	s116_J210623	grCe_grSu12SmCiNe	13	225.0	8	152.081	152.381
163.88299999999998	0.9000000000000057	trials	116	s116_J210623	grCe_grSu6CiNe	15	90.0	8	164.183	164.482
164.5	0.9000000000000057	trials	116	s116_J210623	grCe_grSu18Fa	11	0.0	8	164.8	165.099
169.69199999999998	0.9000000000000057	trials	116	s116_J210623	coCe_grSu6Ne	17	90.0	8	169.992	170.291
170.909	0.9000000000000057	trials	116	s116_J210623	grCe_grSu1Ne	3	135.0	8	171.209	171.508
175.968	0.9000000000000057	trials	116	s116_J210623	coCe_grSu6Ne	17	180.0	8	176.268	176.567
176.58399999999997	0.9000000000000057	trials	116	s116_J210623	grCe_grSu12Mi	9	225.0	8	176.884	177.184
177.185	0.9000000000000057	trials	116	s116_J210623	grCe	1	45.0	8	177.485	177.784
182.277	0.9000000000000057	trials	116	s116_J210623	grCe_grSu1Ne	3	225.0	8	182.577	182.876
182.89399999999998	0.9000000000000057	trials	116	s116_J210623	coCe_grSu6Ne	17	135.0	8	183.194	183.493
188.569	0.9000000000000057	trials	116	s116_J210623	grCe_grSu6CiNe	15	0.0	8	188.869	189.169
189.178	0.9000000000000057	trials	116	s116_J210623	grCe_grSu12SmCiNe	13	90.0	8	189.478	189.777
189.786	0.9000000000000057	trials	116	s116_J210623	grCe_grSu12SmCiNe_PS	21	315.0	8	190.086	190.386
194.803	0.9000000000000057	trials	116	s116_J210623	grCe_grSu6Ne_PS	18	45.0	8	195.103	195.403
195.42	0.9000000000000057	trials	116	s116_J210623	grCe_grSu18Fa	11	90.0	8	195.72	196.02
201.03799999999998	0.9000000000000057	trials	116	s116_J210623	grCe_grSu6Ne_PS	18	0.0	8	201.338	201.637
201.63799999999998	0.9000000000000057	trials	116	s116_J210623	grCe	1	135.0	8	201.938	202.237
210.23899999999998	0.9000000000000057	trials	116	s116_J210623	grCe_grSu6CiNe	15	135.0	8	210.539	210.838
210.839	0.9000000000000057	trials	116	s116_J210623	coCe	16	45.0	8	211.139	211.438
211.456	0.9000000000000057	trials	116	s116_J210623	grCe_grSu18Fa	11	315.0	8	211.756	212.055
216.765	0.9000000000000057	trials	116	s116_J210623	coCe_grSu6Ne	17	270.0	8	217.065	217.364
