session_id	original_session_id
ses-s000+F190723	ses-s000_F190723
ses-s001+F190729	ses-s001_F190729
ses-s002+F190730	ses-s002_F190730
ses-s003+F190731	ses-s003_F190731
ses-s004+F190802	ses-s004_F190802
ses-s005+F190805	ses-s005_F190805
ses-s006+F190809	ses-s006_F190809
ses-s007+F190813	ses-s007_F190813
ses-s008+F190815	ses-s008_F190815
ses-s009+F190821	ses-s009_F190821
ses-s010+F190828	ses-s010_F190828
ses-s011+F190904	ses-s011_F190904
ses-s012+F190905	ses-s012_F190905
ses-s013+F190911	ses-s013_F190911
ses-s014+F190912	ses-s014_F190912
ses-s015+F190920	ses-s015_F190920
ses-s016+F190924	ses-s016_F190924
ses-s017+F190926	ses-s017_F190926
ses-s018+F191203	ses-s018_F191203
ses-s019+F191219	ses-s019_F191219
ses-s020+F191220	ses-s020_F191220
ses-s021+F191226	ses-s021_F191226
ses-s022+F191227	ses-s022_F191227
ses-s023+F200110	ses-s023_F200110
ses-s024+F200113	ses-s024_F200113
ses-s025+F200220	ses-s025_F200220
ses-s026+F200221	ses-s026_F200221
ses-s027+F200225	ses-s027_F200225
ses-s028+F200324	ses-s028_F200324
ses-s029+F200516	ses-s029_F200516
ses-s030+F200517	ses-s030_F200517
ses-s031+F200522	ses-s031_F200522
ses-s032+F200527	ses-s032_F200527
ses-s033+F200530	ses-s033_F200530
ses-s034+F200606	ses-s034_F200606
ses-s035+F200607	ses-s035_F200607
ses-s036+F200609	ses-s036_F200609
ses-s037+F200610	ses-s037_F200610
ses-s038+F200612	ses-s038_F200612
ses-s039+F200614	ses-s039_F200614
ses-s040+F200616	ses-s040_F200616
ses-s041+F200617	ses-s041_F200617
ses-s042+F200619	ses-s042_F200619
ses-s043+F200621	ses-s043_F200621
ses-s044+F200623	ses-s044_F200623
ses-s045+F200625	ses-s045_F200625
ses-s046+F200630	ses-s046_F200630
ses-s047+F200701	ses-s047_F200701
ses-s048+F200704	ses-s048_F200704
ses-s049+F200710	ses-s049_F200710
ses-s050+F200711	ses-s050_F200711
ses-s051+F200714	ses-s051_F200714
ses-s052+F200715	ses-s052_F200715
ses-s053+F200718	ses-s053_F200718
ses-s054+F200723	ses-s054_F200723
ses-s055+F200807	ses-s055_F200807
ses-s056+F200808	ses-s056_F200808
ses-s057+F200811	ses-s057_F200811
ses-s058+F200813	ses-s058_F200813
ses-s059+F200815	ses-s059_F200815
